asset_id,review_status,notes
thecat_ui_cat_room_hover_soft_halo_frame_batch92,pending_agent_review,
thecat_ui_cat_room_ready_available_ring_batch92,pending_agent_review,
thecat_ui_cat_room_selected_active_ring_batch92,pending_agent_review,
thecat_ui_cat_room_blocked_range_denied_frame_batch92,pending_agent_review,
thecat_ui_cat_room_restore_sleep_pulse_marker_batch92,pending_agent_review,
thecat_ui_cat_room_hunger_feeder_ready_marker_batch92,pending_agent_review,
thecat_ui_cat_room_litter_urgent_marker_batch92,pending_agent_review,
thecat_ui_cat_room_dream_entry_confirm_button_frame_batch92,pending_agent_review,
thecat_ui_cat_room_attention_sparkle_marker_batch92,pending_agent_review,
thecat_ui_cat_room_cooldown_overlay_frame_batch92,pending_agent_review,
thecat_ui_cat_room_home_room_locator_badge_batch92,pending_agent_review,
thecat_ui_cat_room_interaction_target_reticle_batch92,pending_agent_review,
